candidate,seed,classifier_onset,embedding_onset,lead,classifier_first_complete,classifier_first_lower_bound,final_test_accuracy
emb128_hid64_e2e-4_d3e-3_wd0p4,1,,,,False,False,1.0
emb128_hid64_e2e-4_d3e-3_wd0p4,2,1350,3800,2450,True,False,1.0
emb128_hid64_e2e-4_d3e-3_wd0p4,3,,,,False,False,1.0
emb128_hid128_e2e-4_d3e-3_wd0p4,1,2050,1950,-100,False,False,1.0
emb128_hid128_e2e-4_d3e-3_wd0p4,2,2900,1850,-1050,False,False,1.0
emb128_hid128_e2e-4_d3e-3_wd0p4,3,3100,4500,1400,True,False,1.0
emb256_hid64_e2e-4_d3e-3_wd0p4,1,,2100,,False,False,1.0
emb256_hid64_e2e-4_d3e-3_wd0p4,2,3850,5400,1550,True,False,1.0
emb256_hid64_e2e-4_d3e-3_wd0p4,3,1800,2100,300,True,False,1.0
emb256_hid128_e2e-4_d3e-3_wd0p4,1,2750,6000,3250,True,False,1.0
emb256_hid128_e2e-4_d3e-3_wd0p4,2,350,900,550,True,False,1.0
emb256_hid128_e2e-4_d3e-3_wd0p4,3,9750,,,False,True,1.0
emb256_hid256_e2e-4_d3e-3_wd0p4,1,1350,1100,-250,False,False,1.0
emb256_hid256_e2e-4_d3e-3_wd0p4,2,2750,3350,600,True,False,1.0
emb256_hid256_e2e-4_d3e-3_wd0p4,3,2550,7050,4500,True,False,1.0
emb256_hid512_e2e-4_d3e-3_wd0p4,1,3100,,,False,True,1.0
emb256_hid512_e2e-4_d3e-3_wd0p4,2,800,1450,650,True,False,1.0
emb256_hid512_e2e-4_d3e-3_wd0p4,3,1500,,,False,True,1.0
emb512_hid128_e2e-4_d3e-3_wd0p4,1,6650,,,False,True,1.0
emb512_hid128_e2e-4_d3e-3_wd0p4,2,400,400,0,False,False,1.0
emb512_hid128_e2e-4_d3e-3_wd0p4,3,3750,9850,6100,True,False,1.0
emb512_hid256_e2e-4_d3e-3_wd0p4,1,1850,1600,-250,False,False,1.0
emb512_hid256_e2e-4_d3e-3_wd0p4,2,2850,8900,6050,True,False,1.0
emb512_hid256_e2e-4_d3e-3_wd0p4,3,2150,3700,1550,True,False,1.0
emb512_hid512_e2e-4_d3e-3_wd0p4,1,1650,2800,1150,True,False,1.0
emb512_hid512_e2e-4_d3e-3_wd0p4,2,2350,4050,1700,True,False,1.0
emb512_hid512_e2e-4_d3e-3_wd0p4,3,650,1000,350,True,False,1.0
