architecture,lambda_reg,seed,initial_classifier_pr,halfway_threshold,halfway_epoch,log_epoch_auc,final_classifier_pr,final_test_accuracy
lstm,0.01,1,13.43521306608396,7.71760653304198,1250.0,2.9887157547780405,1.988254580900915,0.6259298324584961
lstm,0.01,2,13.871679737187687,7.935839868593844,1200.0,3.000240034207596,1.999993797015536,1.0
lstm,0.01,3,13.047316087253838,7.523658043626919,1100.0,2.9727601997700437,1.9913218727843145,0.9900814890861512
lstm,0.01,4,11.41621498393278,6.70810749196639,1300.0,3.0804824761881227,1.9994499457296009,1.0
lstm,0.01,5,11.774894743744698,6.887447371872349,1250.0,3.087762186881335,1.9998393235288532,1.0
lstm,0.1,1,13.435084455845937,7.717542227922968,625.0,2.626845643446371,1.9888770937930615,0.6085724234580994
lstm,0.1,2,13.87138873226453,7.935694366132265,525.0,2.580969899644671,1.9999810506003808,1.0
lstm,0.1,3,13.038882225721078,7.519441112860539,550.0,2.6141585548734323,1.9972505787590544,0.989018738269806
lstm,0.1,4,11.41424091216234,6.70712045608117,550.0,2.637700122415036,1.9989757649641609,1.0
lstm,0.1,5,11.77267234780282,6.88633617390141,525.0,2.577710726287105,1.999918107075645,1.0
lstm,0.5,1,13.435066105594409,7.717533052797204,310.0,2.235543472173196,1.9900433925614327,0.5777541399002075
lstm,0.5,2,13.87136507778286,7.93568253889143,260.0,2.232706081611379,1.9997479084188163,0.9876018166542052
lstm,0.5,3,13.038817203024797,7.519408601512398,320.0,2.3101126726268184,1.995135937154726,0.955720841884613
lstm,0.5,4,11.414210098902627,6.707105049451314,290.0,2.2909270833223325,1.9993784998464428,1.0
lstm,0.5,5,11.772633848837437,6.886316924418718,270.0,2.219665617748125,1.999609105665146,0.9996457695961
lstm,0.7,1,13.43506484121598,7.71753242060799,220.0,2.157603626752003,1.9849219184138795,0.582004964351654
lstm,0.7,2,13.8713633314129,7.93568166570645,210.0,2.148485721174162,1.9988681621300677,0.994686484336853
lstm,0.7,3,13.038815375216448,7.519407687608224,270.0,2.2404133222240037,1.9928685264777788,0.9337583780288696
lstm,0.7,4,11.414208208640972,6.707104104320486,250.0,2.2194270278945183,1.99898188261355,1.0
lstm,0.7,5,11.772631676490764,6.886315838245382,220.0,2.140632227605045,1.999655540129016,0.9907899498939514
lstm,1.0,1,13.435063884276486,7.717531942138243,90.0,2.0853222581297137,1.982960442990792,0.5653560161590576
lstm,1.0,2,13.871362082934974,7.935681041467487,160.0,2.058616883946099,1.9992278882132812,0.9929153323173524
lstm,1.0,3,13.03881402843153,7.519407014215765,220.0,2.1622021406147787,1.9911014200877637,0.9582005143165588
lstm,1.0,4,11.414206703180009,6.707103351590004,200.0,2.1420716091241534,1.9991652626903689,1.0
lstm,1.0,5,11.772630075579102,6.886315037789551,170.0,2.055902094878244,1.9993379595091425,0.9950407147407532
lstm,1.5,1,13.435063119877489,7.717531559938744,80.0,2.0172247369745593,1.982980149475008,0.5557916760444641
lstm,1.5,2,13.871361152709367,7.935680576354684,110.0,1.9623095433511502,1.999180388394597,0.9982288479804992
lstm,1.5,3,13.038812336223172,7.519406168111586,170.0,2.0737393058889304,1.989714156962165,0.9291533827781676
lstm,1.5,4,11.414205627389634,6.707102813694817,150.0,2.051732286931435,1.9997828898651149,1.0
lstm,1.5,5,11.772628842566064,6.886314421283032,120.0,1.9619762571784496,1.999774779982092,1.0
lstm,2.0,1,13.435062717963804,7.717531358981902,80.0,1.977752892038142,1.9791782780172695,0.5540205240249634
lstm,2.0,2,13.871360607006435,7.935680303503218,85.0,1.9024860732804776,1.998658948538004,0.992206871509552
lstm,2.0,3,13.038811471452917,7.519405735726458,130.0,2.0142675690372327,1.9811830284618588,0.9050655364990234
lstm,2.0,4,11.414205001241948,6.707102500620974,120.0,1.9887400496355019,1.999615366854467,1.0
lstm,2.0,5,11.772628150801934,6.886314075400967,90.0,1.9025985591094507,1.9995871399516203,0.9982288479804992
lstm,3.0,1,13.435062373225296,7.717531186612648,75.0,1.9340056334054232,1.976685279952308,0.5518951416015625
lstm,3.0,2,13.871360186862589,7.935680093431294,70.0,1.8352671322616139,1.9990353573212227,0.9964576363563538
lstm,3.0,3,13.038811009127343,7.519405504563672,90.0,1.9388938888828486,1.9807010438701464,0.8894792795181274
lstm,3.0,4,11.41420443152617,6.707102215763085,90.0,1.9087011934660885,1.9995925842929505,1.0
lstm,3.0,5,11.772627591384763,6.886313795692382,70.0,1.834287281491587,1.999856280957179,0.992561101913452
mlp,0.01,1,15.593320187802062,8.796660093901032,370.0,2.631187211598057,1.9982784821731956,1.0
