architecture,lambda_reg,epoch,valid_seed_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,rank_regularizer_mean,rank_regularizer_std,classifier_participation_rank_mean,classifier_participation_rank_std,effective_mean_participation_rank_mean,effective_mean_participation_rank_std
lstm,0.01,10000,5,0.9771636843681335,0.051063554108494454,0.9232022643089295,0.1662358310254586,0.27166882157325745,0.013656853804559305,1.9957719039918438,0.005572459008813574,4.686229595149802,3.004375457004921
lstm,0.1,10000,5,0.9790160894393921,0.046921450447294996,0.919518232345581,0.17388901716522606,0.08104716837406153,0.014421568212556845,1.9970005190384605,0.004673062496767175,4.682587957238004,3.0214546315677855
lstm,0.5,10000,5,0.9661706686019897,0.07564468463931892,0.9041445136070252,0.18334712929720698,0.02033332809805864,0.004840187444895254,1.9967829687293126,0.004232295448477273,4.984039770676548,3.002785541738781
lstm,0.7,10000,5,0.9731248140335083,0.06009474272902382,0.9002479553222656,0.17990866341892975,0.01295350138097994,0.0034439836615683867,1.9950592059528585,0.006296536794413553,4.972870860330235,2.9688276941842875
lstm,1.0,10000,5,0.9753112673759461,0.0552056844257014,0.9023025155067443,0.18908555228879348,0.007193410024046861,0.002308563000886142,1.9943585946982698,0.007282430899626915,5.041952925965832,3.093263950523346
lstm,1.5,10000,5,0.9699665904045105,0.06715674545160899,0.8966347813606262,0.19295179002850135,0.00300364396534854,0.0013323580082742943,1.9942864729357954,0.007632521624206231,5.180454539027561,3.299844836582677
lstm,2.0,10000,5,0.9676586747169494,0.07231740181533362,0.8899043560028076,0.1919432605267431,0.0014658020343631,0.0007067485074230683,1.9916445523646438,0.010496092289006501,5.1280347735966085,3.2710362216906326
lstm,3.0,10000,5,0.9699665904045105,0.06715674545160899,0.8860786318778991,0.19247745890557272,0.00032632654765618,0.0002094600065591398,1.9911741092787616,0.011485439931793693,5.062096841573546,3.032442283830293
mlp,0.01,10000,5,1.0,0.0,1.0,0.0,0.02047049142420286,0.0037407365459974614,1.9989315051901702,0.0006470133901809155,2.131500157658073,0.0008816522044400641
mlp,0.1,10000,5,1.0,0.0,1.0,0.0,0.004831811739131759,0.0007783785327244254,1.9985068673766342,0.0011663821588748886,2.129095128618198,0.0011964428660261037
mlp,0.5,10000,5,1.0,0.0,1.0,0.0,0.00140866495203222,0.0001862278074698325,1.9978070287313625,0.00250886977152818,2.128116961374751,0.000586161046530852
mlp,0.7,10000,5,1.0,0.0,1.0,0.0,0.0011557320482097001,0.00019801366628534483,1.998410387365221,0.0017579289753354786,2.1288215859428328,0.001166936628603805
mlp,1.0,10000,5,1.0,0.0,1.0,0.0,0.00083161408547306,0.00011284474037728813,1.9985825060216054,0.0011705675159779775,2.128952426253437,0.0009419588822489394
mlp,1.5,10000,5,1.0,0.0,1.0,0.0,0.0005510513903572601,0.00011791673511581749,1.9983808403785275,0.0016204219544308043,2.129449921114884,0.0014053923652325602
mlp,2.0,10000,5,1.0,0.0,1.0,0.0,0.00037660617963406,9.471532982605991e-05,1.9987568476556064,0.0008863627446734457,2.1295580817354285,0.0012818376525894402
mlp,3.0,10000,5,1.0,0.0,1.0,0.0,0.00018098906730296,6.54240833599732e-05,1.9986685279959204,0.001271223331661748,2.130240351722301,0.0005724627792982883
rnn,0.01,10000,5,0.8755845665931702,0.06479364680116807,0.7399929165840149,0.08252109752715145,0.0123502481728792,0.004997613940502264,1.9216237839560804,0.11609831354811825,2.6171515051516048,0.6139421512488943
rnn,0.1,10000,5,0.8813543796539307,0.05915892167623995,0.7411264538764953,0.08303854141795322,0.00302835081238294,0.0016174092398705277,1.91862810288122,0.12525601023715394,2.656393848365723,0.6750915944721597
rnn,0.5,10000,5,0.8843000411987305,0.05857070704518407,0.7424725294113159,0.08072318621013927,0.0004799873102456,0.0004309023351551541,1.912146261158592,0.11593595875066807,2.6620613360372647,0.7074152343779118
rnn,0.7,10000,5,0.8870938301086426,0.05489209934802406,0.747856879234314,0.07996940348574971,0.00031748555775263997,0.0002769368483477109,1.9085156690873153,0.12517188065992932,2.6615924692254134,0.7085733142430536
rnn,1.0,10000,5,0.8839356303215027,0.058516922462748554,0.7365922689437866,0.08862684028898475,0.00018848589970725998,0.00014791879932240989,1.9108189715792847,0.12801423459182,2.6801260861064216,0.7247696771309307
rnn,1.5,10000,5,0.8853325128555298,0.056461129163531465,0.7370882034301758,0.08473519129079768,8.734186703804622e-05,6.73288995268986e-05,1.9080283135000908,0.12473116987262677,2.661754518922588,0.7151660144958629
