architecture,lambda_reg,epoch,valid_seed_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,rank_regularizer_mean,rank_regularizer_std,classifier_participation_rank_mean,classifier_participation_rank_std,effective_mean_participation_rank_mean,effective_mean_participation_rank_std
lstm,0.01,0,5,1.0,0.0,1.0,0.0,0.06298565417528149,0.00199490101608507,12.744752103641257,1.060149520118107,9.241961128916602,5.877166959597712
lstm,0.01,1,5,1.0,0.0,1.0,0.0,0.06263889074325558,0.002006203851561253,12.709063723640593,1.0650719542290132,9.167771734327413,5.888918859323418
lstm,0.01,2,5,1.0,0.0,1.0,0.0,0.06231502443552012,0.002017001598604365,12.672698058646727,1.069410447187025,9.066648602703857,5.866963688372542
lstm,0.01,3,5,1.0,0.0,1.0,0.0,0.06200029104948039,0.002044791344457936,12.635346014234047,1.0739002931680632,9.010105566503372,5.849573842254526
lstm,0.01,4,5,1.0,0.0,1.0,0.0,0.06170336157083507,0.0020743851526886644,12.59749211946519,1.0779778571249101,8.940457924388074,5.8215802114485635
lstm,0.01,5,5,1.0,0.0,1.0,0.0,0.0614268898963928,0.002106201121429903,12.559332751915539,1.0812700048682777,8.860507505412299,5.775113565589336
lstm,0.01,6,5,1.0,0.0,1.0,0.0,0.0611692681908607,0.0021448868176954764,12.520777685120617,1.0836591098752097,8.782360975028162,5.712500151189313
lstm,0.01,7,5,1.0,0.0,1.0,0.0,0.060932698845863296,0.0021909078745727707,12.48209646690677,1.0849468129381497,8.700523595298007,5.641490941343712
lstm,0.01,8,5,1.0,0.0,1.0,0.0,0.060721404105424835,0.0022439023951446504,12.443842704313436,1.0847341876959158,8.620004487988572,5.572935600680032
lstm,0.01,9,5,1.0,0.0,1.0,0.0,0.06053749248385424,0.0023045440353665876,12.406465782515387,1.082850980576714,8.552649122304206,5.512014625792081
lstm,0.01,10,5,1.0,0.0,1.0,0.0,0.06038209348917002,0.0023731807016255766,12.370335344282307,1.0795482902888598,8.507902977605495,5.462229904571009
lstm,0.01,11,5,1.0,0.0,1.0,0.0,0.060256952047347954,0.0024486693197147335,12.335944424573999,1.0752177331897712,8.487068179837278,5.4239225590423885
lstm,0.01,12,5,1.0,0.0,1.0,0.0,0.0601640164852142,0.002528332666239041,12.303894167767904,1.0701691423953021,8.487336667047444,5.394330896989745
lstm,0.01,13,5,1.0,0.0,1.0,0.0,0.06010535210371014,0.0026087183834392425,12.274836897920665,1.0647171727195488,8.500061081186923,5.3681493487198395
lstm,0.01,14,5,1.0,0.0,1.0,0.0,0.0600824654102325,0.002686365331602865,12.249319345838739,1.059231110637301,8.51258591041755,5.341273847856947
lstm,0.01,15,5,1.0,0.0,1.0,0.0,0.060094832628965346,0.002759020944418111,12.227533910416351,1.0538726605791862,8.523076602945789,5.311369358060075
lstm,0.01,16,5,1.0,0.0,1.0,0.0,0.060140600055456093,0.002825746462466362,12.209410046672478,1.0485642595765818,8.53638423043296,5.279902042642874
lstm,0.01,17,5,1.0,0.0,1.0,0.0,0.06021751016378398,0.002886251810178354,12.194809784553062,1.043261032080062,8.559607407609082,5.251181392072371
lstm,0.01,18,5,1.0,0.0,1.0,0.0,0.060322684794664315,0.0029409011467582697,12.183498920208176,1.0380317440146731,8.593501034358253,5.232676653762369
lstm,0.01,19,5,1.0,0.0,1.0,0.0,0.06045289337635033,0.002990906555157818,12.175109269551749,1.0328946218604766,8.638748669531081,5.224189325514507
lstm,0.01,20,5,1.0,0.0,1.0,0.0,0.060604880750179224,0.003037978857965036,12.169219869937397,1.0278077319943446,8.692021771587532,5.222502578037799
lstm,0.01,25,5,1.0,0.0,1.0,0.0,0.061602368950843776,0.003271668900482182,12.165946545479539,1.0026959164733087,8.892233482853584,5.19765837156636
lstm,0.01,30,5,1.0,0.0,1.0,0.0,0.06286567971110338,0.003550739826573579,12.186985508470626,0.9793725172771353,9.09140154690841,5.24544891035384
lstm,0.01,35,5,1.0,0.0,1.0,0.0,0.06428729891777034,0.0039385349671687735,12.216390609122778,0.9605934778141141,9.396432213141386,5.460766147550743
lstm,0.01,40,5,1.0,0.0,1.0,0.0,0.06584385931491848,0.004431246663601458,12.248288651851533,0.9476136769439738,9.559736089147997,5.78205529889651
lstm,0.01,45,5,1.0,0.0,1.0,0.0,0.06751378029584883,0.004995661777982858,12.278770230891293,0.9397806393321578,9.507432083332835,5.781286607905968
lstm,0.01,50,5,1.0,0.0,1.0,0.0,0.06925574690103528,0.0055724998923407125,12.304673633741157,0.9345717873314464,9.442522235863093,5.80112570749182
lstm,0.01,55,5,1.0,0.0,1.0,0.0,0.071011309325695,0.006121474161217229,12.324096282302133,0.930786232148553,9.245591926395987,5.697264925478617
lstm,0.01,60,5,1.0,0.0,1.0,0.0,0.07274162247776982,0.006620222166668024,12.337204744771858,0.9278106539552261,8.981665893454307,5.5310816653797845
lstm,0.01,65,5,1.0,0.0,1.0,0.0,0.0744451820850372,0.0070618736183576235,12.345917514399478,0.9255965530147579,8.7741312410953,5.453926978027847
lstm,0.01,70,5,1.0,0.0,1.0,0.0,0.07614122629165646,0.007449629000777823,12.352335486895589,0.9238825418075574,8.631371381744628,5.437001682902024
lstm,0.01,75,5,1.0,0.0,1.0,0.0,0.07784010767936704,0.007794060338388456,12.35737230936815,0.9220068075722394,8.527694934776338,5.379338449615736
lstm,0.01,80,5,1.0,0.0,1.0,0.0,0.07953857034444806,0.00810074003751138,12.361193173353076,0.9196717296590348,8.41687660330896,5.2462695609848895
lstm,0.01,85,5,1.0,0.0,1.0,0.0,0.08123226463794704,0.008361104476840275,12.363705020478754,0.9172186869798242,8.302087451542835,5.092714191545644
lstm,0.01,90,5,1.0,0.0,1.0,0.0,0.08292399644851682,0.00856492159465429,12.365034172382138,0.9148474383183024,8.199611141311706,4.9613783290540985
lstm,0.01,95,5,1.0,0.0,1.0,0.0,0.08461907804012295,0.008711406539246857,12.365323984741256,0.9124235160479767,8.106626240049076,4.85789603752878
lstm,0.01,100,5,1.0,0.0,1.0,0.0,0.0863194033503532,0.008809764975184608,12.364523100542193,0.9098673982186624,8.012089519270349,4.748417251405593
lstm,0.01,110,5,1.0,0.0,1.0,0.0,0.08974151313304897,0.008890694746242206,12.36036895198284,0.9040160025374503,7.817522120313323,4.448547943700495
lstm,0.01,120,5,1.0,0.0,1.0,0.0,0.09318474084138864,0.008864251631143277,12.352350188390819,0.8968157033664761,7.795794985070147,4.038098781075282
lstm,0.01,130,5,1.0,0.0,1.0,0.0,0.09664040058851239,0.008777529563286469,12.340754506395475,0.8883920268340412,7.864689793702607,3.67984221112017
lstm,0.01,140,5,1.0,0.0,1.0,0.0,0.10013003349304195,0.00860602746922779,12.326140945555276,0.8788326428139666,7.731543582688421,3.4946506329850675
lstm,0.01,150,5,1.0,0.0,1.0,0.0,0.10365323722362514,0.008365539087818978,12.308495258255892,0.8681775069772714,7.628625277905502,3.3552842048922984
lstm,0.01,160,5,1.0,0.0,1.0,0.0,0.10719927400350568,0.008094227375446007,12.288084835015319,0.8563957845188926,7.540299282833312,3.2397284595843665
lstm,0.01,170,5,1.0,0.0,1.0,0.0,0.1107437521219253,0.007823533579023732,12.265351597015954,0.8441193409079604,7.441327945349201,3.1467886655034882
lstm,0.01,180,5,1.0,0.0,1.0,0.0,0.1142534032464027,0.007600807739278102,12.240874545971968,0.8315336200945418,7.343557296057857,3.0729306188753664
lstm,0.01,190,5,1.0,0.0,1.0,0.0,0.11772524714469905,0.007440522575907186,12.215170533721365,0.8189956554292153,7.271917157823869,3.020294446435729
lstm,0.01,200,5,1.0,0.0,1.0,0.0,0.12117669731378551,0.007328779086456532,12.18809313996722,0.8062793712594833,7.22103834414785,2.968274329242041
lstm,0.01,210,5,1.0,0.0,1.0,0.0,0.12462017834186549,0.007258091835390912,12.159903457198052,0.7937111722601826,7.220029791800579,2.836327352011112
