architecture,K,epoch,valid_seed_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,effective_mean_participation_rank_mean,effective_mean_participation_rank_std
lstm,79,6000,5,0.9875457882881165,0.027339411269840096,0.9152162432670593,0.11611703618115732,2.000201502672014,0.00014090423647154378
lstm,97,6000,5,0.9494382023811341,0.09826603309710595,0.9076868534088135,0.1811879996508806,2.0001228710660843,0.00012091172607047395
lstm,113,6000,5,0.9666144609451294,0.07465233479216477,0.948577344417572,0.11498442018583051,2.0001434589267006,0.00015978860018072536
mlp,79,6000,5,0.9949633717536926,0.006913764425225975,0.952375876903534,0.06522185083714101,2.016355295850875,0.012072753173669019
mlp,97,6000,5,1.0,0.0,1.0,0.0,2.0332113331983592,0.0033802354926578205
mlp,113,6000,5,0.9515104174613953,0.06649036196646589,0.9187156915664673,0.1114850492498864,2.0574655782276814,0.010125124330324893
rnn,79,6000,5,0.9497710585594177,0.023044705896957424,0.7254671812057495,0.09279041502685564,2.0012203402220488,0.001706959044199617
rnn,97,6000,5,0.8526875138282776,0.093907703997598,0.7278781414031983,0.11729619518476263,2.001043206929665,0.0010166015439426789
rnn,113,6000,5,0.8259789824485779,0.0988789504725087,0.7462803244590759,0.1440088181936307,2.0008712344026316,0.0009369109782853848
transformer,79,6000,5,0.9972527503967286,0.005890410331271284,0.8779498219490052,0.03895953782240932,1.9999830402738343,6.092668266517674e-05
transformer,97,6000,5,0.967203152179718,0.007800813645966973,0.8541268110275269,0.01730928448615623,1.9999901848481851,6.791643935443776e-05
transformer,113,6000,5,0.9441038370132446,0.03034698203804135,0.8599320888519287,0.04724601248103562,2.0000422636922877,5.57947471068773e-05
