architecture,K,epoch,valid_seed_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,effective_mean_participation_rank_mean,effective_mean_participation_rank_std
lstm,79,0,5,0.15975274741649625,0.045792528234054115,0.15408435910940166,0.04282985692834834,10.036928334533226,5.783189961183232
lstm,79,1,5,0.1575091570615768,0.034362781582612065,0.1507741644978523,0.032470778595874356,8.817371539218126,5.118817476906164
lstm,79,2,5,0.16025641262531276,0.037261324589922866,0.15568606704473492,0.036660118090726154,7.693333755947298,4.4297561686249205
lstm,79,3,5,0.16121795177459713,0.03212576231919211,0.15301655530929564,0.031103219459649254,6.558354081760113,3.6679470295363212
lstm,79,4,5,0.16707875728607174,0.0419138652878371,0.15920982807874676,0.03632972347186379,5.514662681275103,2.9220894850990264
lstm,79,5,5,0.16858974397182463,0.03978862581761802,0.15899626314640042,0.03224127800113095,4.614140244640205,2.252075204239504
lstm,79,6,5,0.17133699357509607,0.03942072344152628,0.1618793427944183,0.036067893213238986,3.875871338628445,1.6851796466315772
lstm,79,7,5,0.17522893846034998,0.04143064173902681,0.16316070854663844,0.036942832522076065,3.295401832046945,1.2256423789599573
lstm,79,8,5,0.17577838599681853,0.038851819748702325,0.16550987958908076,0.0356557585792307,2.8596143320207754,0.8739182133866645
lstm,79,9,5,0.1783424913883209,0.044312322318817855,0.16668446660041805,0.037845766431848574,2.5459968959363932,0.6210241310633698
lstm,79,10,5,0.18328754901885985,0.05062542745707872,0.17031500637531277,0.041815193484387086,2.32310814141054,0.4491994303572877
lstm,79,11,5,0.1909340679645538,0.059679681631339014,0.1785371154546737,0.051720556017440175,2.1636338755421773,0.3355248179145848
lstm,79,12,5,0.19835164844989772,0.06721274689868312,0.18419648408889766,0.059596573720826884,2.051679890624387,0.2572254997353886
lstm,79,13,5,0.20599817037582394,0.07231848832892743,0.18793379962444304,0.0625897145876092,1.9793182569066752,0.1996992461662921
lstm,79,14,5,0.206456047296524,0.07102724144304466,0.18878804743289943,0.06163468997044765,1.9417547534232107,0.15877237974568895
lstm,79,15,5,0.21112637519836422,0.07265399394542059,0.19103043377399442,0.06256398071758634,1.933333593628396,0.1401078981250661
lstm,79,16,5,0.21465201675891876,0.06808975916517794,0.19305927157402036,0.05611900689137385,1.9447644891735412,0.14542194051772683
lstm,79,17,5,0.2152930378913879,0.06314213065155355,0.19562200307846064,0.052379101412042176,1.9577088977485644,0.14637422931571414
lstm,79,18,5,0.2194597095251083,0.06637015181306863,0.19893219769001003,0.05437505928091201,1.9629192178108128,0.12205143455073769
lstm,79,19,5,0.22074175775051114,0.06677321014149698,0.20074746906757351,0.05672827902201777,1.967007538992723,0.08978696324486249
lstm,79,20,5,0.22083333134651179,0.06949562938170274,0.20213561356067652,0.0591616339617024,1.9765555523673572,0.07676982283814203
lstm,79,21,5,0.22197801768779754,0.07210858603066321,0.20160171091556545,0.06241139122367315,1.991286577841382,0.08377504249610339
lstm,79,22,5,0.22280219495296474,0.0731065210596702,0.2020288378000259,0.06213330610090671,2.0057272117305045,0.08952725599807511
lstm,79,23,5,0.2252747297286987,0.07236116465397409,0.20512547492980956,0.06130753035301845,2.0132485487017897,0.0829085526476354
lstm,79,24,5,0.22985347509384152,0.07374229287558369,0.20790176689624787,0.06316614621542518,2.0148246540144834,0.06424655365394143
lstm,79,25,5,0.23759157657623292,0.08105453042677163,0.21398825943469996,0.06867701168645705,2.0158065336196156,0.038113289168363165
lstm,79,26,5,0.24565018415451045,0.09005506512370115,0.21900694668292994,0.07607918721056658,2.018846878140527,0.014659992054970455
lstm,79,27,5,0.25114468634128573,0.09770719967733651,0.2228510469198227,0.0815881502110361,2.020956303751311,0.02980920810967548
lstm,79,28,5,0.2533424913883209,0.10016524114032269,0.2244527548551559,0.08530641215926203,2.01717129427088,0.04727005583288927
lstm,79,29,5,0.25837911963462823,0.10361342713034986,0.22658836245536795,0.08821893836856232,2.0063318861365005,0.05285819511496487
lstm,79,30,5,0.2624542146921158,0.10451422796848757,0.2296850055456161,0.08769295639242948,1.9926135344937002,0.04909818086924235
lstm,79,31,5,0.26561355590820307,0.10708835553821854,0.23310198485851283,0.08907269096902483,1.9821889150311474,0.03856667036657513
lstm,79,32,5,0.26831501722335815,0.1106819828769634,0.23587827384471893,0.09168014588604469,1.9795500801265256,0.024688795087051997
lstm,79,33,5,0.2694597035646439,0.1116292684884491,0.2339562237262726,0.09018802656438372,1.9848701086624572,0.017129043675846563
lstm,79,34,5,0.2686813235282898,0.1098260152006043,0.23256808221340175,0.08838680927948883,1.994913070546323,0.018080718382123245
lstm,79,35,5,0.2685439527034759,0.10740058988811052,0.23395622968673702,0.08659222634601284,2.0065260990465887,0.01811346192843538
lstm,79,36,5,0.27042125165462494,0.10694068666883212,0.23555793762207028,0.08659058189245514,2.0173401624467537,0.017639264821326342
lstm,79,37,5,0.27550366222858425,0.10904462576809766,0.23950881361961365,0.08829000314239954,2.024746521818362,0.016444868700208084
lstm,79,38,5,0.2814560443162918,0.11393126944297356,0.24420715570449825,0.09053439872309951,2.0249862381116204,0.014688463990240635
lstm,79,39,5,0.2845238089561462,0.11770265166451585,0.2463427722454071,0.0924504843052655,2.017435424215738,0.01758343856079961
lstm,79,40,5,0.28434066474437714,0.11786269321063417,0.24773092269897456,0.09349704889608683,2.0074904703718217,0.022069304586010006
lstm,79,41,5,0.28827838599681854,0.11941273918547646,0.24954618811607357,0.09456834801792008,2.0017944201587587,0.023972079704878593
lstm,79,42,5,0.29262820482254026,0.11991086053955252,0.25499199628829955,0.09532042011761038,2.001272461313012,0.026067769673301152
lstm,79,43,5,0.29761904776096343,0.1221046456465154,0.259583568572998,0.09799873807011769,2.0017870417451333,0.024444870450062318
lstm,79,44,5,0.3027930349111557,0.12555199912181814,0.26470902264118196,0.10099686117308022,2.001632160843142,0.018511444778310855
lstm,79,45,5,0.30654761791229246,0.12825101157376928,0.2682327926158905,0.10268133021093584,2.001836837969889,0.012008873178803387
lstm,79,46,5,0.30769231021404264,0.1277131919081895,0.27036840021610253,0.10284706948149522,2.0017061870836157,0.00951534160873993
lstm,79,47,5,0.30970696210861204,0.12680312938330696,0.27058196067810053,0.10227089817957814,2.0000284994346074,0.015435224946749345
lstm,79,48,5,0.31144689023494715,0.12578754858641375,0.2723972320556641,0.10202742330396732,1.9994411914528976,0.01946737514799802
lstm,79,49,5,0.31263736188411706,0.12624235635752518,0.2728243499994278,0.10144224165425159,2.0018066515005644,0.0169534368553692
lstm,79,50,5,0.31336995661258693,0.12689103296464935,0.2730379223823547,0.1005401589799293,2.003317402736836,0.01003368969237015
lstm,79,51,5,0.3141483515501022,0.12728303506377225,0.27303791344165795,0.10074903739856415,2.001246142184736,0.006358022893455574
lstm,79,52,5,0.31350732445716856,0.12615347333583826,0.27378537654876706,0.10092487007579291,1.9995064689281157,0.013089112038674786
lstm,79,53,5,0.3146062314510345,0.12593358893792145,0.27399893999099734,0.10034419431617268,2.000275219246187,0.014436363068495684
lstm,79,54,5,0.3162545830011368,0.1269942853400237,0.2744260638952255,0.10127209466052212,2.0009073609051677,0.01241568429549806
lstm,79,55,5,0.31863553225994107,0.1293532035097303,0.2764548897743225,0.10317829638003594,2.001659415171912,0.009356145899841888
lstm,79,56,5,0.3217490822076797,0.13176132463216822,0.2794447422027587,0.10634896877256807,2.003614673462116,0.006570355132635726
lstm,79,57,5,0.3244047582149505,0.1333505699877289,0.28307529091835015,0.10734196320121658,2.0043449248118947,0.0055191239072273105
lstm,79,58,5,0.32522893846035006,0.13339121734844703,0.28371597528457637,0.10628864943198194,2.0032532480996292,0.006883523025138762
lstm,79,59,5,0.32623626887798307,0.1341376843904956,0.2845702111721039,0.1071662798496729,2.0020450628333375,0.005202203617878099
lstm,79,60,5,0.3276098906993866,0.13511855248463425,0.2863854855298996,0.10802043423495995,2.0002044046766123,0.0024723757871800423
lstm,79,61,5,0.3293498188257217,0.13608192830381075,0.2888414353132248,0.10970436723857996,1.9991180349962652,0.004329718146915434
lstm,79,62,5,0.3319139242172241,0.13643396187836992,0.2900160223245621,0.10955316105283057,2.0011126717852874,0.00487076653568705
lstm,79,63,5,0.33246336579322816,0.1359079863512839,0.29119060933589935,0.10994160383573408,2.0030001166632814,0.0033872276677311868
lstm,79,64,5,0.33521062433719634,0.13698038780317853,0.29087027013301847,0.10957853610095517,2.002343552814515,0.005027936370616195
lstm,79,65,5,0.33635531663894647,0.13794447456437908,0.2934330075979233,0.11189411540463493,2.0017219411292517,0.0042417395849016215
lstm,79,66,5,0.3375000059604645,0.1372978022552547,0.2951414942741394,0.11156807172628466,2.000814335365323,0.0034065404232176792
lstm,79,67,5,0.3405677706003189,0.13758696979243643,0.2961025118827819,0.11270573640581115,1.9979707557875936,0.002229171059383634
lstm,79,68,5,0.34372710585594174,0.13809571967963785,0.29941271543502807,0.11248472186426241,1.9973629805924804,0.004850217716434753
lstm,79,69,5,0.34377289712429043,0.13566397231312574,0.29898559153079984,0.11061778663082318,1.9985604859578259,0.004380311469827213
lstm,79,70,5,0.34532967507839196,0.13362989880240408,0.2989855945110321,0.10936801077310744,2.0010745572505724,0.0019469479988760447
lstm,79,71,5,0.3473901122808456,0.13378160070859238,0.2996262699365616,0.10998100325148809,2.003297713420443,0.005559795435784992
lstm,79,72,5,0.3485348016023636,0.13305976425947852,0.301121199131012,0.10975501887391012,2.0036105764630348,0.006627453044448453
lstm,79,73,5,0.35009158253669737,0.1330768760460553,0.3032568126916885,0.11105820501735862,2.003659645032125,0.004021181830450126
lstm,79,74,5,0.351373627781868,0.13411055789643553,0.30389749705791474,0.11098722049953724,2.0006071066237814,0.0027223263077056923
lstm,79,75,5,0.35187729001045226,0.13433056237350002,0.3044313997030258,0.11219101193329316,1.9984327212250619,0.0027889718996030443
lstm,79,76,5,0.3535256445407867,0.13396881534743463,0.3063534557819366,0.1123230626222641,1.998588373192197,0.0024132971151283843
lstm,79,77,5,0.3565018326044082,0.1338096856734976,0.30816871821880343,0.11350076206574464,1.9998290483465844,0.0016208720947426438
lstm,79,78,5,0.3581959784030914,0.1341233807321628,0.30934330224990847,0.11391451749419743,2.002463162904965,0.0014357095301370667
lstm,79,79,5,0.3590201467275619,0.1341034293206864,0.3108382374048233,0.11339711694494187,2.0011015269791903,0.002525090426757171
lstm,79,80,5,0.35993589758872985,0.13347289387876268,0.31222638487815857,0.11273469652800228,2.0010195942266416,0.00288172650018375
lstm,79,81,5,0.361675825715065,0.13396510256932498,0.31329419314861295,0.11305725460854602,1.9979173999804059,0.0052414808054440775
lstm,79,82,5,0.3628663003444671,0.13370855229176085,0.31500267386436465,0.11332268739194556,2.003276913039465,0.006904207778809331
lstm,79,83,5,0.3635989040136337,0.13327602111149348,0.31681794226169585,0.11289337165854334,1.997323066170545,0.00931914895363739
lstm,79,84,5,0.3657051265239716,0.13354426301743139,0.3190603405237197,0.11274304225329161,2.0039991037261515,0.004733655153426274
lstm,79,85,5,0.3671703338623047,0.1339021945697696,0.3201281458139419,0.1117979030945952,2.001771400385371,0.0023720192855286037
lstm,79,86,5,0.3696428596973419,0.13470691538185672,0.32237053811550137,0.11261642414203149,1.9970571780187805,0.00627280274245572
lstm,79,87,5,0.37174908220767977,0.13509434446772542,0.3234383434057236,0.11345491945862261,2.002814276700719,0.006379376200623194
lstm,79,88,5,0.373351639509201,0.13516473764996184,0.3251468330621719,0.11389976357102671,1.9986653076885716,0.0037912089463513535
lstm,79,89,5,0.37541208863258363,0.13526891933602184,0.32674853801727294,0.11434934708760097,2.001268074651643,0.005669563820686821
lstm,79,90,5,0.37774725258350367,0.13525269969930376,0.32824347019195554,0.11463902509834943,2.0014379434681326,0.007189383230736801
lstm,79,91,5,0.37994505465030665,0.13528695025631154,0.3299519509077072,0.1147232834450809,2.0002884006913466,0.004793599235917738
lstm,79,92,5,0.3817307710647583,0.1356724615853657,0.331446886062622,0.11382678342233572,1.9999440724911484,0.0016912189296547826
lstm,79,93,5,0.38443224132061,0.13613004406239984,0.3334757208824157,0.11427803619151507,2.0013375170381225,0.005247099656554951
lstm,79,94,5,0.38557692170143126,0.13588706275076257,0.33497064411640165,0.11419756566353471,1.999841173983635,0.006626687223748089
lstm,79,95,5,0.3878205120563507,0.13606895655494483,0.3362520098686218,0.11433214709934703,2.0007457632591272,0.003344773245649395
lstm,79,96,5,0.38965201675891875,0.13605442499242376,0.3379604995250701,0.11328180364032846,2.0011820550415607,0.00232385511745729
lstm,79,97,5,0.3918956041336059,0.13638390944908976,0.3399893313646316,0.11450840509668021,1.9997125384368897,0.006013810618978889
lstm,79,98,5,0.3945054978132248,0.13609991219422302,0.3418046057224273,0.11437827192617349,2.001605674907503,0.005966705748665834
lstm,79,99,5,0.39697802066802973,0.13619120616547425,0.34244528710842126,0.11337274035821387,2.0002654956682115,0.003318396325407842
lstm,79,100,5,0.39880951642990115,0.13522876304717776,0.3437266528606414,0.1142785306310716,1.9993985094501372,0.0017969205148761012
lstm,79,101,5,0.4013278394937515,0.13550124952593914,0.3461826056241989,0.11374236182875458,2.001507199802843,0.004019746000164987
lstm,79,102,5,0.40242673754692077,0.13436493643979064,0.34789109528064727,0.11247471682768545,2.000178922110115,0.005445816735454718
lstm,79,103,5,0.40462453961372374,0.13442238063590867,0.350133490562439,0.11368583519880054,2.0010496906310764,0.0038322004216080866
lstm,79,104,5,0.40576923489570615,0.13297317830588265,0.34981314241886136,0.11080986259643678,2.0003400671817846,0.0013892146339178916
lstm,79,105,5,0.40833333134651184,0.1337416327815836,0.35397758483886715,0.11421279218254521,2.0001819455200374,0.0022469435705851346
lstm,79,106,5,0.4083791315555573,0.13230664129259512,0.35344368219375605,0.11211451438232611,2.001372047930025,0.003672004354693276
lstm,79,107,5,0.4101190507411957,0.13318555327208684,0.35643354058265686,0.1146739553339818,1.9999046063116654,0.0046242084301265285
lstm,79,108,5,0.4100732564926147,0.13226532447910078,0.3564335316419601,0.1130706129874214,2.000037136056471,0.003833448141861557
lstm,79,109,5,0.41199633479118347,0.1320809639246332,0.35654031634330746,0.1133241932444721,2.0011608497315194,0.0023398837392064036
lstm,79,110,5,0.41369047164916994,0.13249897931592414,0.35995729863643644,0.11345492131336973,2.000381426271306,0.0017235970499803173
lstm,79,111,5,0.414652019739151,0.13204839315006983,0.3599572956562042,0.11243973408941083,2.001259208303683,0.0014151529219003113
lstm,79,112,5,0.4155219793319702,0.13142550968820488,0.36209290921688075,0.11328520518063231,1.9988479053589612,0.0026135049316007913
lstm,79,113,5,0.4172161161899567,0.13113082215632882,0.3628403723239898,0.1138938759563879,2.0025011446318213,0.004109319843551479
lstm,79,114,5,0.41813185811042786,0.1326134073302333,0.36337428390979765,0.11059433825423871,1.9973140565506493,0.006512503478202981
lstm,79,115,5,0.4203754663467407,0.13229138734546578,0.36657769083976743,0.11439770346583567,2.004823319158972,0.007499328332916308
lstm,79,116,5,0.4201465368270874,0.13200969968899576,0.3650827705860138,0.1104239658397132,1.9958173900692717,0.007372212034288981
lstm,79,117,5,0.42243590354919436,0.1324845863679757,0.36828618645668026,0.11229133328943691,2.004043805637549,0.005976774544011993
lstm,79,118,5,0.4218406677246094,0.1314189867764559,0.36796584427356716,0.1147111168849197,1.998047121411057,0.01076161890481578
lstm,79,119,5,0.4247710645198822,0.13384837950264594,0.3696743309497833,0.1120519453128096,2.001571580179486,0.011516633966710248
lstm,79,120,5,0.42472527027130125,0.13184939404524276,0.3711692571640014,0.11519280094871931,1.999199631988357,0.007656128482616839
lstm,79,121,5,0.4267399311065674,0.13293507370608568,0.3741591125726699,0.11535168937981673,2.0019614374093893,0.004453319586225869
lstm,79,122,5,0.4270604372024536,0.13362077614644643,0.37415911257267,0.1142567015691279,1.9995744977402619,0.00870589661752616
lstm,79,123,5,0.4279304027557373,0.13151635609047369,0.3759743839502334,0.11628876755739449,1.999714816273805,0.008695788357555594
lstm,79,124,5,0.4303571403026581,0.13441388673197263,0.37693541049957274,0.11539776399284082,2.002427201777054,0.0034639738084545194
lstm,79,125,5,0.4309523940086365,0.13361068604521972,0.37618794441223147,0.11396330379070217,1.9983090153974579,0.0054368669343224365
lstm,79,126,5,0.4333333492279053,0.13393497953185673,0.380565944314003,0.11834254598405974,2.0009999458902006,0.00784164158359066
lstm,79,127,5,0.4339285731315613,0.13485011687075885,0.3793913573026657,0.11494953236443949,2.002051010271761,0.005012558007252594
lstm,79,128,5,0.43461537957191465,0.13465144960759656,0.38174052834510797,0.11748713139612939,1.9978636087351558,0.003245497492416576
lstm,79,129,5,0.436904764175415,0.13476420068649328,0.3845168262720108,0.1196939464760984,2.001971360689706,0.005373131733257713
lstm,79,130,5,0.43699634075164795,0.13593893976788024,0.3828083395957947,0.1167899487956016,2.000879505121204,0.005369346249463844
lstm,79,131,5,0.4396520137786865,0.13676596905578825,0.3863320976495742,0.12028323090431386,1.9982121168069018,0.003945967107024925
lstm,79,132,5,0.4392399251461029,0.13580471741575995,0.3864388823509216,0.11877712363715077,2.0029270457627146,0.0030465607910687208
lstm,79,133,5,0.4406135618686676,0.1370749929264983,0.3875066876411438,0.1193194678727576,1.9991033421310278,0.004812782287451522
lstm,79,134,5,0.44212454557418823,0.13722553027039514,0.3891083925962448,0.12086821848755812,1.9995843269914495,0.004883289570146881
lstm,79,135,5,0.44249085187911985,0.1372382295275697,0.3885744929313659,0.11937140696726026,2.0030497776764946,0.0029189643758777456
lstm,79,136,5,0.44505494832992554,0.13983419786391732,0.3913507848978042,0.12213020306305081,1.9969971405636275,0.002686877091776598
lstm,79,137,5,0.44487179517745973,0.13879013269562926,0.3901761949062347,0.1210967740428484,2.0033051203277594,0.003380510023774363
lstm,79,138,5,0.4463827908039093,0.1403991687624083,0.3914575636386871,0.12166215510316153,1.9991196788604495,0.004474642721357895
lstm,79,139,5,0.44716118574142455,0.14017968094992492,0.3927389234304428,0.12268071718128133,1.9999037699328153,0.006054629270490715
lstm,79,140,5,0.44789376854896545,0.14082132758420635,0.392952486872673,0.12239423697297916,2.0016397654506752,0.0065527115535867295
lstm,79,141,5,0.44908424019813536,0.1417198988413978,0.39391351938247676,0.12363649664149712,2.0000538067007536,0.008996233779027026
lstm,79,142,5,0.45045787692070005,0.14284848119074034,0.39508810639381403,0.12388271865272263,1.9985127994857386,0.010993550376277732
lstm,79,143,5,0.450549453496933,0.14305036494145348,0.3956220090389252,0.12330381927078855,2.0040115239871925,0.010734860425236241
lstm,79,144,5,0.4528388261795044,0.14494624781726526,0.39668981134891507,0.1248687892616432,1.9966611079968088,0.00666830538283457
lstm,79,145,5,0.45329671502113345,0.14399464884507518,0.39754405915737145,0.12520255548121706,2.002513826621182,0.0030409219038908765
lstm,79,146,5,0.4551281988620758,0.14569641797486763,0.3994661062955856,0.1277932982568951,2.0001169282553573,0.008449154068908345
lstm,79,147,5,0.454899263381958,0.1448769716718204,0.3974372804164886,0.12455543107311992,1.9999202312867534,0.01006227336892346
lstm,79,148,5,0.4573718011379242,0.1461323546828329,0.4006406873464584,0.129278149899219,1.9993596011045702,0.006475876386439085
lstm,79,149,5,0.45558608770370485,0.14394613876085618,0.3960491299629211,0.12427808545663191,2.003656113838464,0.003163586009028986
lstm,79,150,5,0.46080586314201355,0.14797335109725354,0.4043780118227005,0.1317407858697356,1.9960456649838871,0.0075698916906022685
lstm,79,151,5,0.4570970594882965,0.14452613119243754,0.39658302962779995,0.12448606250745427,2.003164306681782,0.010432108188582572
lstm,79,152,5,0.46245420575141905,0.1482863626105971,0.40512547492980955,0.1307437501965744,2.000330791865159,0.011306172921957958
lstm,79,153,5,0.46066848635673524,0.14704374809238283,0.4019220620393753,0.12831086053081506,1.9982053338490224,0.012622714426667672
lstm,79,154,5,0.4629120886325836,0.14829908664411137,0.4048051476478577,0.12829531872672226,2.0018736253707266,0.011928201306880562
lstm,79,155,5,0.46446887254714964,0.14903199989714525,0.40683397054672243,0.13217088308110383,2.0012341743826743,0.0099707286971508
lstm,79,156,5,0.46263736486434937,0.14684980519568622,0.40437801480293273,0.1273940681062844,1.9967463968278245,0.008352045132873104
lstm,79,157,5,0.46694138646125793,0.15062507137051265,0.40790177285671236,0.1327519189182038,2.0046495082183577,0.006821291341145252
lstm,79,158,5,0.4671703398227692,0.15073117588203735,0.4073678731918335,0.12980538647787895,1.997695592235629,0.0072518855609460375
lstm,79,159,5,0.4664835214614868,0.14871198713095846,0.4057661652565002,0.12814114003905397,2.0001171192934293,0.008004369220170834
lstm,79,160,5,0.46881868243217467,0.15044556959654826,0.41206621527671816,0.13276715452980062,2.002351689249699,0.006976466669280582
lstm,79,161,5,0.46959707140922546,0.15042266212849767,0.4103577256202698,0.13060751754233668,1.9987678939532785,0.005332502174215614
lstm,79,162,5,0.47037544250488283,0.14972742557055901,0.41195943057537077,0.12965410395189508,2.0000683838684674,0.0049146339492349795
lstm,79,163,5,0.4732142806053162,0.1517839865383585,0.41356113851070403,0.1306844264178948,2.002083814287921,0.006246135030016539
lstm,79,164,5,0.47147435545921323,0.14890569721513514,0.4126001179218292,0.12851896031761106,1.9986333411261448,0.006745443392922156
lstm,79,165,5,0.4740842580795288,0.14952153851505798,0.4145221620798111,0.12948305350988587,2.000457092242213,0.005476338723547819
lstm,79,166,5,0.4774267315864563,0.15204589814136987,0.41783236563205717,0.13034700535741778,2.00210085228091,0.005496849615771996
lstm,79,167,5,0.47417581677436826,0.14799662264089808,0.4136679321527481,0.128734482710863,1.997493627548198,0.0065627190519749155
lstm,79,168,5,0.47893773317337035,0.1516021565472409,0.4190069556236267,0.13190340613438756,2.0027179848840477,0.005699971272292672
lstm,79,169,5,0.47880037426948546,0.14985323432024333,0.4184730380773544,0.1309996729349671,1.9993843851954298,0.004863417459619798
lstm,79,170,5,0.4794871866703033,0.15026197322041554,0.41847304403781893,0.13111821645576835,1.9997426755165943,0.003985748976558641
lstm,79,171,5,0.48218865394592286,0.15175510310209872,0.4217832565307617,0.13239768241173808,2.00156856259393,0.004348481391617263
lstm,79,172,5,0.48076923489570617,0.1495348102464002,0.4191137284040451,0.13103100315304775,1.9996933134398958,0.004578282154273111
lstm,79,173,5,0.4829670310020447,0.15260279735698667,0.42189002931118014,0.13328625225652468,1.9992367502883504,0.005160654466963748
lstm,79,174,5,0.48333333134651185,0.15099110852903344,0.42210358679294585,0.1325405596364836,2.0037928048349705,0.0064059034232854485
lstm,79,175,5,0.48415751457214357,0.15191147649383352,0.4219968140125275,0.13133174724495333,1.9939870981171466,0.009419883407445519
lstm,79,176,5,0.4844780325889587,0.15309272638876367,0.42327816486358644,0.13264955767156386,2.0082703013970016,0.011866367566175956
lstm,79,177,5,0.4870421290397644,0.1542816580766955,0.42381207048892977,0.13361626745697783,1.993540360719453,0.012748392364712412
lstm,79,178,5,0.48420330286026003,0.1523979171878308,0.4240256428718567,0.13319427435788067,2.0020860970657046,0.012092146582440875
lstm,79,179,5,0.4875915825366974,0.15626835779692308,0.42701549232006075,0.13549167163649858,2.003278897985615,0.01148535358870429
lstm,79,180,5,0.4881410300731659,0.15629451380201392,0.427229055762291,0.13428978302173672,1.9967093260461273,0.007516124275942247
lstm,79,181,5,0.4866300344467163,0.15484422295830283,0.42520022988319395,0.1331344423954787,2.0004051715021047,0.009368149328527952
lstm,79,182,5,0.48887361884117125,0.15771205770691618,0.42840364277362825,0.1356489333708651,2.003653963630188,0.011112899528869074
lstm,79,183,5,0.48910256028175353,0.15777634515792016,0.4291511118412018,0.13537117459237674,1.9959654077617561,0.006315766998532692
lstm,79,184,5,0.4897435963153839,0.1574100933342253,0.42722904980182647,0.13435237832737296,2.0050537731758373,0.00985846586222121
lstm,79,185,5,0.49175825119018557,0.1599364118349241,0.4317138373851776,0.13683055812908693,1.9932177996460794,0.010187731505370064
lstm,79,186,5,0.4908882796764374,0.15809483835549687,0.42957823872566225,0.13466243866857316,2.009116573941572,0.005261451882567282
lstm,79,187,5,0.49262820482254027,0.1586648639257159,0.4325680822134018,0.1375659432075269,1.9940423319893092,0.005985424190210623
lstm,79,188,5,0.49418498277664186,0.16004823402820156,0.4319273978471756,0.139088097144856,1.9997464972472723,0.00327979286687554
lstm,79,189,5,0.4948717951774597,0.1596341804429934,0.4306460380554199,0.13643312312802933,2.006595558561523,0.0043097212226784745
lstm,79,190,5,0.4971153914928436,0.16029374299218446,0.433208766579628,0.13821517269657208,1.9941357991601745,0.006348510448887908
lstm,79,191,5,0.497802197933197,0.1601399843089154,0.43384944200515746,0.13775862220290006,2.001216537448516,0.008156928541786219
lstm,79,192,5,0.49853479862213135,0.16047044834941643,0.4334223210811615,0.13716492413451511,2.005214884647639,0.00988135604802261
lstm,79,193,5,0.49990842342376707,0.16082501810631195,0.4354511648416519,0.1397819527276129,1.9921661132341177,0.013168569292584868
lstm,79,194,5,0.4995421290397644,0.1600238683473616,0.4350240439176559,0.13869733464951678,2.007762588024611,0.015639597710270018
lstm,79,195,5,0.5022893786430359,0.16103511867692863,0.43587827384471894,0.13799637837446632,1.9960572810762662,0.009559504836748224
lstm,79,196,5,0.5028846144676209,0.16054556641968196,0.4388681322336197,0.14052247619632127,1.9993141708509892,0.0038108251817788354
lstm,79,197,5,0.5026099026203156,0.16019660152019768,0.4378003358840942,0.13910551469718496,2.0056161458685837,0.012330062127218417
lstm,79,198,5,0.5053113579750061,0.1617883147219432,0.4394020438194275,0.13950708424293612,1.9955684752077456,0.010247825500512477
