architecture,K,final_matched_mean,final_matched_std,final_shuffled_mean,final_shuffled_std,final_gap_mean,final_gap_std,final_test_acc_mean,final_test_acc_std,n_seeds
mlp,79,0.9021924182082539,0.03476462903369426,-0.0008949348981300229,0.004418801526310566,0.903087353106384,0.03232730478455929,1.0,0.0,5
mlp,97,0.9116798078661421,0.014648867451975441,-0.0028488390137649602,0.004233072530274675,0.9145286468799071,0.016660938540599933,1.0,0.0,5
mlp,113,0.913366170614754,0.014921689084369067,6.681765744751466e-05,0.0019675473777865664,0.9132993529573066,0.013395706840347608,0.9999999403953552,0.0,5
transformer,79,0.9295059188433491,0.01844509816792067,-0.0014759371900705891,0.0034339691237790216,0.9309818560334197,0.017789866774911168,1.0,0.0,5
transformer,97,0.9542512724158356,0.014581217641400374,-0.0017730701802704195,0.0051022591468898185,0.956024342596106,0.015596538329139051,1.0,0.0,5
transformer,113,0.9324273332452082,0.04030704234165536,0.0026344386385652413,0.0014261718078954272,0.9297928946066429,0.03970118630160971,0.9999999403953552,0.0,5
lstm,79,0.8949033396136705,0.057503088710264716,-0.0012863458895381887,0.004655043339398166,0.8961896855032088,0.05731844018854947,1.0,0.0,5
lstm,97,0.8771220103679138,0.04326413131894355,0.0002114737263421087,0.003443549637871253,0.8769105366415719,0.04389560827290265,1.0,0.0,5
lstm,113,0.8355264435005896,0.06045158124808223,0.0018324976913061558,0.003211445564846606,0.8336939458092834,0.060077769988265924,0.9999999403953552,0.0,5
rnn,79,0.7590218684806276,0.10589662869004843,-0.0018009134332614134,0.005326406418873214,0.7608227819138891,0.10625774006076685,1.0,0.0,5
rnn,97,0.7207571299728913,0.10190079299536972,0.001561311376806646,0.002188093948671762,0.7191958185960846,0.10130164332146283,1.0,0.0,5
rnn,113,0.779846386367547,0.06508313074583742,0.00040024640739814,0.0020787752401967554,0.7794461399601487,0.06379409060690751,0.9999999403953552,0.0,5
