architecture,K,epoch,centered_matched_mean,centered_matched_std,centered_shuffled_mean,centered_shuffled_std,n_seeds
mlp,79,1,0.08665313510842713,0.00823693614775652,0.0023644375705873647,0.001219612775513263,5
mlp,79,2,0.16296753459120966,0.007760103392504874,0.0024132043216230467,0.001204618276177674,5
mlp,79,3,0.22965835433317427,0.0071374651584620065,0.002403292302531885,0.0012372487050920074,5
mlp,79,4,0.287068774463305,0.006431630046899212,0.0023590307976010068,0.001337100036884014,5
mlp,79,5,0.3362009621591296,0.00597305650299022,0.0023013911134070787,0.0015158097095603795,5
mlp,79,6,0.3781867200566456,0.005413197586244639,0.0023244213756904615,0.001754440468807525,5
mlp,79,7,0.4140457026593564,0.004875102603571636,0.0023624936050544157,0.001953337234277496,5
mlp,79,8,0.4444805178491632,0.004722216571154361,0.0023531230025937494,0.0021364621269759003,5
mlp,79,9,0.4704924922083854,0.004611758431439079,0.0023027951800388504,0.0022624372764798923,5
mlp,79,10,0.49296243967276787,0.004512478282451042,0.0022530141086732807,0.0023368951469112885,5
mlp,79,11,0.5125242553332228,0.004343257122057255,0.0022052669482509946,0.0023591564169707846,5
mlp,79,12,0.5296963138619277,0.00422888858136268,0.0021510640488715442,0.002373142473437132,5
mlp,79,13,0.5448115071513276,0.0041568587459849034,0.002080428571940427,0.0024051607861290307,5
mlp,79,14,0.55822676572631,0.004058478892045276,0.002008661429727999,0.00244769105591605,5
mlp,79,15,0.5702296111353795,0.003977503049258375,0.0019424950444861082,0.0024757098121021086,5
mlp,79,16,0.5809429502299382,0.00399707517047553,0.0018850663967164018,0.0024952377484586652,5
mlp,79,17,0.5905979742549349,0.00410908592001637,0.001831132130124037,0.0025068284783597026,5
mlp,79,18,0.5993672889574571,0.004244323265139675,0.0017822500353381575,0.002531099943728539,5
mlp,79,19,0.6073581532320562,0.004412511358596142,0.001733954702858561,0.0025592812795998056,5
mlp,79,20,0.6146953543026507,0.004593780578818833,0.0016996319272259148,0.002584944663129621,5
mlp,79,21,0.6214509975168826,0.004771294325264677,0.0016668631823414139,0.0025964764179828514,5
mlp,79,22,0.6277182687651858,0.004942027909352087,0.0016495142514129815,0.0025958297011236483,5
mlp,79,23,0.6335014673943051,0.005093934047138826,0.0016371501059135145,0.0025870266249179894,5
mlp,79,24,0.6388336599085458,0.005245571263002597,0.0016339614550396238,0.002584279440466789,5
mlp,79,25,0.643746971252583,0.005403200402726847,0.001633729940491564,0.0025711151784705666,5
mlp,79,26,0.6482661799393548,0.005574180841189626,0.0016377466417219235,0.002548785259898543,5
mlp,79,27,0.6524308538717565,0.005746958077429088,0.0016451697998613561,0.002513762389944638,5
mlp,79,28,0.6563211326652136,0.005907917126595639,0.0016554268029951233,0.0024756427532788335,5
mlp,79,29,0.6599410756941098,0.006061917630251872,0.001664051992557611,0.002439336590339826,5
mlp,79,30,0.6633089752372514,0.006196554731039438,0.001668600054323279,0.0023954215782457404,5
mlp,79,31,0.6664309502090285,0.006288955760746619,0.0016795160625790004,0.0023351025792570546,5
mlp,79,32,0.6693699612620798,0.006352981170034643,0.0016972291071017526,0.0022711409830846944,5
mlp,79,33,0.6721282447755212,0.006434549001014078,0.0017140146429870805,0.0022038615108088623,5
mlp,79,34,0.6747141461978418,0.006516600523223893,0.0017294126139051264,0.00213273415667065,5
