architecture,K,final_centered_matched_mean,final_centered_matched_std,final_centered_shuffled_mean,final_centered_shuffled_std,final_centered_gap_mean,final_centered_gap_std,final_test_acc_mean,final_test_acc_std,n_seeds
mlp,79,0.9256735572354591,0.012060070076696123,-0.000866084587733452,0.006600558127428828,0.9265396418231926,0.016467474331279864,1.0,0.0,5
mlp,97,0.9245479166072468,0.009106676033440972,0.003460928967161162,0.00776868461106761,0.9210869876400857,0.01401955144016791,1.0,0.0,5
mlp,113,0.9344113036909363,0.011029474360198795,-0.00313514632993664,0.0036933304354097025,0.9375464500208729,0.013164134343419065,0.9999999403953552,0.0,5
transformer,79,0.8326606342614195,0.04293817554030711,-0.001195747554993743,0.013073399874986732,0.8338563818164133,0.034005562275332364,1.0,0.0,5
transformer,97,0.8090116862615655,0.05115932453079791,0.004824372914090898,0.007013551249887483,0.8041873133474746,0.04583935681230727,1.0,0.0,5
transformer,113,0.8194565984121054,0.04821977157655698,-0.001578250468505903,0.004709943328638981,0.8210348488806112,0.048870955532666356,0.9999999403953552,0.0,5
lstm,79,0.9070852318837677,0.019633297202841883,0.004006398408568519,0.0027799634944465318,0.9030788334751992,0.01953072309771256,1.0,0.0,5
lstm,97,0.8784107787560552,0.019264356635012154,0.0034805176216088003,0.006165284088581736,0.8749302611344467,0.017677322517688353,1.0,0.0,5
lstm,113,0.8713630349285694,0.03344936711734894,0.0016312068147240084,0.002421258048670021,0.8697318281138454,0.033869090250847285,0.9999999403953552,0.0,5
rnn,79,0.7278759032102249,0.04898721363526075,0.00032743497791868265,0.0074710431327006995,0.7275484682323062,0.0487105856972638,1.0,0.0,5
rnn,97,0.7908855378647848,0.037671379774369435,-0.0029165955003045184,0.01633302203955925,0.7938021333650893,0.05356819286393105,1.0,0.0,5
rnn,113,0.7952709717143934,0.039224768453478935,0.001271708433371582,0.00825592648527362,0.7939992632810219,0.040890614064636316,0.9999999403953552,0.0,5
